txHash;from;to;value;from0;to0;value0;from1;to1;value1;from2;to2;value2;from3;to3;value3;from4;to4;value4
0x5cb88ddf4d8484e4679655274a157dc70408da3171af4d0b5a06ee51255845d9;0xa476616484fd7fdf0b0af702dd8dcebecc3cbf75;0xb27cd6335614476404051d876ec0243c8e4b4927;0;0xb27cd6335614476404051d876ec0243c8e4b4927;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;1E+19;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;0xb27cd6335614476404051d876ec0243c8e4b4927;4E+18;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;0xeabd296bf9373419df8571eec8a4b8e1ad236602;1E+18;;;;;;
0xa9b28396a67f84774300b3344c4e6e2698e1855a50992beb150ff69934b2e905;0xa476616484fd7fdf0b0af702dd8dcebecc3cbf75;0xb27cd6335614476404051d876ec0243c8e4b4927;0;0xb27cd6335614476404051d876ec0243c8e4b4927;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;1E+19;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;0xb27cd6335614476404051d876ec0243c8e4b4927;1,4E+19;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;0xeabd296bf9373419df8571eec8a4b8e1ad236602;1E+18;;;;;;
0x70d26da5b8a1cccf57ee34e47f46116172c227fd0f418e30d34dddc8e93dd016;0xa476616484fd7fdf0b0af702dd8dcebecc3cbf75;0xb27cd6335614476404051d876ec0243c8e4b4927;0;0xb27cd6335614476404051d876ec0243c8e4b4927;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;1E+19;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;0xb27cd6335614476404051d876ec0243c8e4b4927;4E+18;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;0xeabd296bf9373419df8571eec8a4b8e1ad236602;1E+18;;;;;;
0x467aa1af1afc6c4ec1a44181f9d2aa31397b51ddf0ce2f77a49c2cde6832bfaa;0xa476616484fd7fdf0b0af702dd8dcebecc3cbf75;0xb27cd6335614476404051d876ec0243c8e4b4927;0;0xb27cd6335614476404051d876ec0243c8e4b4927;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;1E+19;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;0xb27cd6335614476404051d876ec0243c8e4b4927;4E+18;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;0xeabd296bf9373419df8571eec8a4b8e1ad236602;1E+18;;;;;;
0xe6ed1f6ad22d37feba68d8762c8ea6128722b08be2617fd558532c2a08e6a640;0xa476616484fd7fdf0b0af702dd8dcebecc3cbf75;0xb27cd6335614476404051d876ec0243c8e4b4927;0;0xb27cd6335614476404051d876ec0243c8e4b4927;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;1E+19;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;0xb27cd6335614476404051d876ec0243c8e4b4927;4E+18;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;0xeabd296bf9373419df8571eec8a4b8e1ad236602;1E+18;;;;;;
0x8ddbec61a0b772a7689b742c318bc5c741db06157a0993fb7a61df415423b2a8;0xa476616484fd7fdf0b0af702dd8dcebecc3cbf75;0xb27cd6335614476404051d876ec0243c8e4b4927;0;0xb27cd6335614476404051d876ec0243c8e4b4927;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;1E+19;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;0xb27cd6335614476404051d876ec0243c8e4b4927;4E+18;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;0xeabd296bf9373419df8571eec8a4b8e1ad236602;1E+18;;;;;;
0xda3766445cef0eeb68d0301efedbba40da3ed8df6dbcd8418624b84a501c3c77;0xa476616484fd7fdf0b0af702dd8dcebecc3cbf75;0xb27cd6335614476404051d876ec0243c8e4b4927;0;0xb27cd6335614476404051d876ec0243c8e4b4927;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;2E+18;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;0xb27cd6335614476404051d876ec0243c8e4b4927;8E+17;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;0xeabd296bf9373419df8571eec8a4b8e1ad236602;2E+17;;;;;;
0xe5c4917d842b818cbe6c224ba42def70acc79a1f07d55bb9b7e0544b3592dea5;0xa476616484fd7fdf0b0af702dd8dcebecc3cbf75;0xb27cd6335614476404051d876ec0243c8e4b4927;0;0xb27cd6335614476404051d876ec0243c8e4b4927;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;2E+18;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;0xb27cd6335614476404051d876ec0243c8e4b4927;8E+17;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;0xeabd296bf9373419df8571eec8a4b8e1ad236602;2E+17;;;;;;
0x9e91f0ae1d6a490603457ee3ba72bbe865d1b44b8e47d70a631b9c89d6ceba52;0xa476616484fd7fdf0b0af702dd8dcebecc3cbf75;0xb27cd6335614476404051d876ec0243c8e4b4927;0;0xb27cd6335614476404051d876ec0243c8e4b4927;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;2E+18;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;0xb27cd6335614476404051d876ec0243c8e4b4927;8E+17;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;0xeabd296bf9373419df8571eec8a4b8e1ad236602;2E+17;;;;;;
0x1d1aa803a70eb98727b645305521ebc005b02148b414bdd6ce07646d35ca97fe;0xa476616484fd7fdf0b0af702dd8dcebecc3cbf75;0xb27cd6335614476404051d876ec0243c8e4b4927;0;0xb27cd6335614476404051d876ec0243c8e4b4927;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;2E+18;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;0xb27cd6335614476404051d876ec0243c8e4b4927;2,8E+18;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;0xeabd296bf9373419df8571eec8a4b8e1ad236602;2E+17;;;;;;
0x503eecd98180940678c9d4a714dd53e7e73eab165bdf30497341e330a28b6391;0xa476616484fd7fdf0b0af702dd8dcebecc3cbf75;0xb27cd6335614476404051d876ec0243c8e4b4927;0;0xb27cd6335614476404051d876ec0243c8e4b4927;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;2E+18;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;0xb27cd6335614476404051d876ec0243c8e4b4927;2,8E+18;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;0xeabd296bf9373419df8571eec8a4b8e1ad236602;2E+17;;;;;;
0xcbc72c6974e5dea50b3492d4ebbbf6494cffd485c55d843c211344bd786e4818;0xa476616484fd7fdf0b0af702dd8dcebecc3cbf75;0xb27cd6335614476404051d876ec0243c8e4b4927;0;0xb27cd6335614476404051d876ec0243c8e4b4927;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;4E+18;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;0xb27cd6335614476404051d876ec0243c8e4b4927;1,6E+18;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;0xeabd296bf9373419df8571eec8a4b8e1ad236602;4E+17;;;;;;
0xe08994b54064f759d9466fc083084f5cb9f07be45ed1bcae9d3aa3dd21cc5dd4;0xa476616484fd7fdf0b0af702dd8dcebecc3cbf75;0xb27cd6335614476404051d876ec0243c8e4b4927;0;0xb27cd6335614476404051d876ec0243c8e4b4927;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;4E+18;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;0xb27cd6335614476404051d876ec0243c8e4b4927;5,6E+18;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;0xeabd296bf9373419df8571eec8a4b8e1ad236602;4E+17;;;;;;
0x06644a000f9152d1b825f82aaa78bba5bd444995f39e206736a59920cd784f5e;0xa476616484fd7fdf0b0af702dd8dcebecc3cbf75;0xb27cd6335614476404051d876ec0243c8e4b4927;0;0xb27cd6335614476404051d876ec0243c8e4b4927;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;5E+18;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;0xb27cd6335614476404051d876ec0243c8e4b4927;2E+18;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;0xeabd296bf9373419df8571eec8a4b8e1ad236602;5E+17;;;;;;
0xf3dfe30aced8a5a65380f9fd5cf742a24d5c3527510b59557a2d7aec9390bb22;0xa476616484fd7fdf0b0af702dd8dcebecc3cbf75;0xb27cd6335614476404051d876ec0243c8e4b4927;0;0xb27cd6335614476404051d876ec0243c8e4b4927;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;2E+18;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;0xb27cd6335614476404051d876ec0243c8e4b4927;2,8E+18;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;0xeabd296bf9373419df8571eec8a4b8e1ad236602;2E+17;;;;;;
0x09803a66c026e90069105ab04f6a8fe6ec07bc21732ffb7d9059906ad2b6ca01;0xa476616484fd7fdf0b0af702dd8dcebecc3cbf75;0xb27cd6335614476404051d876ec0243c8e4b4927;0;0xb27cd6335614476404051d876ec0243c8e4b4927;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;2E+18;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;0xb27cd6335614476404051d876ec0243c8e4b4927;8E+17;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;0xeabd296bf9373419df8571eec8a4b8e1ad236602;2E+17;;;;;;
0xcc0c3b106885184c1eb42feeb7e2d821d20941ccda932eccc3e4c54b205d8fe7;0xa476616484fd7fdf0b0af702dd8dcebecc3cbf75;0xb27cd6335614476404051d876ec0243c8e4b4927;0;0xb27cd6335614476404051d876ec0243c8e4b4927;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;2E+18;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;0xb27cd6335614476404051d876ec0243c8e4b4927;2,8E+18;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;0xeabd296bf9373419df8571eec8a4b8e1ad236602;2E+17;;;;;;
0x66d37bbcf9a4c0fd17d9c7e767884df8653f69480ac39f525e5d9e6533659563;0xa476616484fd7fdf0b0af702dd8dcebecc3cbf75;0xb27cd6335614476404051d876ec0243c8e4b4927;0;0xb27cd6335614476404051d876ec0243c8e4b4927;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;4E+18;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;0xb27cd6335614476404051d876ec0243c8e4b4927;1,6E+18;0xafc5629dbf9f85056faab3efb2cf0d7254ca476f;0xeabd296bf9373419df8571eec8a4b8e1ad236602;4E+17;;;;;;
